Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Bass / Club,Juke / Footwork,Subgenre,155,165,155-165,Minor (A/F min),"8A, 4A",Syncopated,Peak,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8,Rapid triplet loop in,-,Sample-chop tension,8,"160 BPM footwork frenzy - dizzying, battle energy",8,Sparse breather,8,Loop tail,3-4 min,4/8-bar,160 BPM loop of rapid triplet claps + chopped samples; minimal arrangement.,"Chicago, USA",2000s,"160 BPM, rapid triplet claps, chopped samples","Chopped soul/rap samples, deep 808 kick","160 BPM rapid triplet claps/kicks, syncopated","Sample-led, minimal","Sample chopping, triplet programming, sparse arrangement","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,"RP Boo, DJ Rashad",,Teklife,2010-present,"Bass/Club, Jungle",,,,,,
Bass / Club,Global Club,Subgenre,100,130,100-130,Minor (A/F min),"8A, 4A",,,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",,,Club edits blending world/regional rhythms with bass music,World/regional percussion & vocals over club bass,"Syncopated global groove, hybrid kick pattern","Sample & chant-led, modal/minor","Percussion layering, vocal chops, club-edit energy","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,,"Bass/Club, Jersey Club",,,,,,
Bass / Club,Jersey Club,Subgenre,130,140,130-140,Minor (A/F min),"8A, 4A",Syncopated (bounce),Peak,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8,Triplet-bounce groove in,-,Vocal-chop stutter tension,8,"Bouncy club kick pattern - hype, chant energy",8,Vocal breather,8,Short tail,2-3 min,4/8-bar,"Loop-based: 4-on-floor with triplet-bounce kick, chopped-vocal hook; short edit.","Newark, USA",2000s,"Triplet bounce, chopped vocals, kick pattern","Chopped vocals, bed-squeak sample, deep kick","Triplet-bounce 5-kick pattern, chopped-vocal stutter","Sample-led, minimal","Vocal chopping, kick-pattern programming, sample flips","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,"DJ Sliink, UNIIQU3",,,surging 2021-present,"Baltimore Club, Bass/Club",,,,,,
Bass / Club,Gqom,Subgenre,120,125,120-125,Minor (A/D min),"8A, 7A",Syncopated / broken,Peak,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,16,Dark broken toms in,-,Sparse tension builds,16,"Heavy broken 4/4 - dark, tribal, menacing pocket",16,Atmos breather,16,Perc tail,4-6 min,16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.","Durban, SA",2010s,"Dark, minimal, broken 4/4 with heavy toms","Dark broken toms, minimal sub, vocal chants","Broken 4/4 with heavy toms, sparse, off-kilter","Dark modal/minor, chant hook","Tom sound-design, space & tension, raw minimal mix","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,"DJ Lag, Rudeboyz",,Gqom Oh!,2014-present,"Amapiano, Afro House",,,,,,
Bass / Club,Reggae / Dancehall,Subgenre,90,110,90-110,Minor (A/F min),"8A, 4A",,,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",,,"Jamaican riddims - offbeat skank or dembow bounce, vocal/DJ-led","Riddim synths, offbeat skank/organ, deep bass",Offbeat skank or dembow bounce,"Minor/major riddim chords, vocal-led","Riddim programming, sub-bass, vocal production","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,,"Dancehall, Bass/Club",,,,,,
Bass / Club,UK Funky,Subgenre,130,130,130,Minor (A/F min),"8A, 4A",,,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",,,UK dance style with tribal/soca percussion and house tempo,"Tribal/soca percussion, warm sub, vocal chops",Syncopated tribal groove at house tempo,"Modal/minor, vocal-led","Percussion layering, swing, sub-bass","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,,"UK Garage, Afro House",,,,,,
Bass / Club,Baltimore Club (Bmore),Subgenre,130,130,130,Minor (A/F min),"8A, 4A",,,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",,,"Fast 130 BPM club music - chopped vocals, breakbeat + kick pattern","Chopped vocals, breakbeat, deep kick, samples","130 BPM 8-kick/breakbeat pattern, chopped vocals","Sample-led, minimal","Vocal & sample chopping, kick programming","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,,"Jersey Club, Bass/Club",DJcity,,,,,
Bass / Club,Twerk,Subgenre,100,115,100-115,Minor (A/F min),"8A, 4A",Syncopated,Peak,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",USA,2010s,Bounce/trap hybrid for club edits,"Chopped vocals, 808 sub, bounce bass",Trap/bounce hybrid kick + triplet hats,"Sample-led, minimal minor","Vocal chopping, 808 programming, club-edit bounce","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,2013-present,"Bass/Club, Trap",BPM Supreme / DJcity,,,,,
Bass House,Bass House,Genre,126,130,126-130,Minor (F/G/A min),"4A, 6A, 8A",Four-on-the-floor,Peak,7,"Tech House, Speed House, Future House","Bass swap on the drop, quick cut","Filter + Crush - crush for dirty bite, filter for blends",Roll into the drop; Echo & Trans for chops,4 bars; 1-bar roll,Roll 1/8-1/4; Echo 1/2,40-70%; 100% on the drop,In: 16-bar intro. Out: on the drop,Low-Med - mostly instrumental drops,Med - drops can align,8-16 bars,16,Punchy groove tool in,16,"Bass tease, riser tension",32,"Heavy G-house/dubstep bass drop - dirty, high energy",16,"Bass cut, vocal/FX breather",16-32,Groove tail for mix,4-6 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,UK/USA,early 2010s,House groove + heavy G-house/dubstep bass,"Distorted G-house 'talking' bass, growls, vocal chops","House 4/4 kick, offbeat hats, hard claps","Minimal - the bass IS the hook, minor","Bass sound-design (FM/distortion), heavy sidechain, drop-focused build",Natural minor,Bass riff is the hook (no chords),Serum (G-house/distorted bass); Serum,Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,"Jauz, AC Slater, Chris Lorenzo",Jauz - Feel The Volume,"Night Bass, Confession",peak 2015-19,"Tech House, Speed House",,Feel The Volume - Jauz (2015),The Box - Joyryde (2017),Change - Chris Lorenzo,Jack Got Jacked - AC Slater,Pixel - Habstrakt
Brazilian Funk,Brazilian Funk,Genre,130,150,130-150,Minor (A/D min),"8A, 7A",Syncopated,Peak,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.","Rio/Sao Paulo, Brazil",1990s-2010s,"Baile funk syncopation, tamborzao beat","Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,"Anitta, DJ Marlboro",,,2016-present (rising),"Bass/Club, Global Club",Baile funk,Envolver - Anitta (2022),Bum Bum Tam Tam - MC Fioti (2017),Baile de Favela - MC Joao (2015),Rap das Armas - Cidinho & Doca (2009),Vai Malandra - Anitta (2017)
